accountid,amount,closedate,opportunityid,opportunity_creation_date__c,ownerid,primary_application__c,stagename,sales_team__c
0014v00002WFziuAAD,1279.04,10/12/2021,0064v00001tiz8MAAQ,10/12/2021,0054v00000E6aXUAAZ,Robot Pedestals & Bases,Closed Won,HVS 3
0014v00002TggMcAAJ,3195.93,9/13/2021,0064v00001sM1gfAAC,8/23/2021,0056g0000049sqfAAA,Safety Enclosures,Closed Won,HVS 3
0014v00002O5C3UAAV,100000,8/1/2022,0064v00001tkKgSAAU,12/14/2021,0054v00000E6aXFAAZ,Cobot Palletizer,Prospect,HVS 3
0016g00000FbcN0AAJ,523.48,2/28/2022,0064v00001tm94DAAQ,2/28/2022,0054v00000E76uLAAR,Parts,Closed Won,HVS 5
0016g00000CWw6dAAD,5822.71,3/8/2022,0064v00001tmD6RAAU,3/2/2022,0056g0000049sqgAAA,Conveyors,Closed Won,Strategic Sales
0016g00000CWw6lAAD,4544.96,3/10/2022,0064v00001tmGnIAAU,3/4/2022,0054v00000Edh3RAAR,Parts,Closed Won,HVS 5
0014v00002SSfiIAAT,2000,6/30/2022,0064v00001tmIYDAA2,3/7/2022,0054v00000E6aXUAAZ,Workstations,Closed Lost,HVS 3
0016g00000qclXmAAI,1879.42,10/14/2021,0064v00001tj1yMAAQ,10/14/2021,0056g0000050h9EAAQ,Inspection & Testing - Part Inspection,Closed Won,EMEA 2
0014v00002TgwWzAAJ,3207.41,12/10/2021,0064v00001tkEd8AAE,12/10/2021,0054v00000EdgdTAAR,Other Equipment - Other,Closed Won,EMEA 2
0016g00000CWvYeAAL,4000,11/30/2022,0064v00001tkF9tAAE,12/10/2021,0056g00000572OUAAY,Robot Pedestals & Bases,Project Quoted,HVS 1
0014v00002YRkOSAA1,2000,12/31/2021,0064v00001tjsxlAAA,11/23/2021,0054v00000E76uVAAR,Robotic Tending Cells,Closed Lost,HVS 4
0014v00002KDRI4AAP,60000,3/1/2022,0064v00001sMAqZAAW,8/30/2021,0054v00000E6aXFAAZ,Robot Range Extender,Closed Lost,HVS 3
0014v00002ThS3ZAAV,100000,2/1/2022,0064v00001tjBHTAA2,10/21/2021,0054v00000E6aXFAAZ,Cobot Palletizer,Closed Lost,HVS 3
0014v00002WIbbkAAD,100000,9/30/2022,0064v00001tjPUgAAM,11/1/2021,0054v00000E5wVdAAJ,Robotic Tending Cells,Closed Lost,HVS 3
0014v00002KDvBFAA1,100000,2/15/2022,0064v00001tk331AAA,12/1/2021,0054v00000Ee0JdAAJ,Cartesian Palletizer,Closed Lost,HVS 2
0016g00000CWw2FAAT,2500,1/31/2022,0064v00001tk3mbAAA,12/2/2021,0056g0000050osWAAQ,AGV Top Modules,Closed Lost,HVS 3
0014v00002YSZiAAAX,100000,3/31/2022,0064v00001tk4b0AAA,12/2/2021,0054v00000E76uVAAR,Cobot Palletizer,Closed Lost,HVS 4
0014v00002KEk3zAAD,130.19,10/20/2021,0064v00001tj96jAAA,10/20/2021,0054v00000EIPPIAA5,Other Equipment - Other,Closed Won,HVS 2
0014v00002YR9SFAA1,5000,8/17/2022,0064v00001tjkKHAAY,11/17/2021,0056g0000049sqkAAA,Workstations,Project Discovery,Strategic Sales
0014v00002bNzNVAA0,5000,4/22/2022,0064v00001tlEqNAAU,1/26/2022,0056g0000049sqgAAA,Industrial Carts,Prospect,Strategic Sales
0016g00000Lxc56AAB,4050.4,2/8/2022,0064v00001tlNnYAAU,2/1/2022,0054v00000Edh2nAAB,Workstations,Closed Won,EMEA 1
0016g00000CWuzZAAT,6079,2/1/2022,0064v00001tlOANAA2,2/1/2022,0054v00000EEeO8AAL,End-of-Arm Tooling,Closed Won,HVS 4
0016g00000CWuzoAAD,16675.33,4/8/2022,0064v00001tjYgaAAE,11/8/2021,0056g0000049sqgAAA,Robotics - Gantry Robots,Closed Lost,Strategic Sales
0016g00000CYvlAAAT,2500,1/31/2022,0064v00001tjZZzAAM,11/9/2021,0054v00000E5wVTAAZ,Workstations,Closed Lost,HVS 3
0016g00000BVvyxAAD,150,1/31/2022,0064v00001tkPnLAAU,12/17/2021,0056g00000572OUAAY,Other Equipment - Other,Closed Lost,HVS 1
0014v00002TjMc1AAF,3000,10/31/2021,0064v00001tiqakAAA,10/5/2021,0054v00000E5wVTAAZ,End-of-Arm Tooling,Closed Lost,HVS 3
0016g00000BVwWcAAL,5658.11,3/7/2022,0064v00001tlGCVAA2,1/27/2022,0056g00000572OUAAY,Industrial Carts,Closed Won,HVS 1
0014v00002ThZZ8AAN,5000,6/30/2022,0064v00001tlXppAAE,2/8/2022,0054v00000Ee1TPAAZ,Industrial Carts,Design Review,EMEA 1
0016g00000CWw6kAAD,681.24,12/9/2021,0064v00001tkDXJAA2,12/9/2021,0056g0000049sqfAAA,Jigs & Fixtures,Closed Won,HVS 3
0014v00002WI3GIAA1,0,12/31/2021,0064v00001tjKn3AAE,10/28/2021,0056g00000511ReAAI,Other Equipment - Other,Closed Lost,HVS 1
0016g00000CWwBJAA1,2870.31,11/9/2021,0064v00001tjT4hAAE,11/3/2021,0056g0000050osWAAQ,Robot Pedestals & Bases,Closed Won,HVS 3
0016g00000BVwxPAAT,766.49,11/3/2021,0064v00001tjT5aAAE,11/3/2021,0056g0000050osWAAQ,Workstations,Closed Won,HVS 3
0016g00000CWvuxAAD,1682.02,12/13/2021,0064v00001tkI5nAAE,12/13/2021,0054v00000E6aXUAAZ,Robot Pedestals & Bases,Closed Won,HVS 3
0016g00000CWvOsAAL,1336.36,11/9/2021,0064v00001tjaDuAAI,11/9/2021,0056g0000050oslAAA,Industrial Carts,Closed Won,HVS 1
0016g00000CWvBYAA1,16000,9/30/2022,0064v00001tjosEAAQ,11/19/2021,0056g00000511ReAAI,Cobot Palletizer,Project Quoted,HVS 1
0016g00000FbcN0AAJ,2611.41,1/27/2022,0064v00001tlHA2AAM,1/27/2022,0054v00000E76uLAAR,Support Structure,Closed Won,HVS 5
0014v00002eVtD2AAK,1000,4/30/2022,0064v00001tmG48AAE,3/4/2022,0054v00000Ef8IVAAZ,Jigs & Fixtures,Closed Lost,HVS BOS
0014v00002KCjs1AAD,100,12/31/2021,0064v00001tk6QoAAI,12/3/2021,0054v00000E76uGAAR,Other Equipment - Other,Closed Lost,HVS 2
0014v00002YRtbXAAT,100000,3/4/2022,0064v00001tjvKcAAI,11/25/2021,0054v00000EdgdTAAR,Cobot Palletizer,Closed Lost,EMEA 2
0016g00000CWvXOAA1,90000,8/20/2021,0064v00001s8SnDAAU,8/2/2021,0056g00000573PMAAY,Cartesian Palletizer,Closed Lost,HVS 2
0014v00002WFYHZAA5,30000,11/30/2021,0064v00001tiuPeAAI,10/7/2021,0054v00000E76uaAAB,Milling & Drilling,Closed Lost,HVS 4
0014v00002SVP02AAH,0,9/30/2021,0064v00001sM905AAC,8/27/2021,0054v00000E6aXUAAZ,Other Equipment - Other,Closed Lost,HVS 3
0016g00000CYw69AAD,3662.76,5/10/2022,0064v00001tkyRyAAI,1/14/2022,0054v00000EEeP5AAL,Safety Enclosures,Closed Won,HVS 1
0014v00002bN2tzAAC,1000,3/8/2022,0064v00001tl0u4AAA,1/17/2022,0054v00000Edh3RAAR,Other Equipment - Other,Closed Lost,HVS 5
0014v00002YRfNXAA1,5000,3/31/2022,0064v00001tjqxZAAQ,11/22/2021,0054v00000E76uLAAR,Workstations,Closed Lost,HVS 5
0016g00000BVwKTAA1,410.22,11/22/2021,0064v00001tjsO2AAI,11/23/2021,0056g0000050oslAAA,Other Equipment - Other,Closed Won,HVS 1
0014v00002TifFmAAJ,100000,11/16/2021,0064v00001sMcMzAAK,9/21/2021,0054v00000E7EDFAA3,Cobot Palletizer,Closed Lost,Strategic Sales
0014v00002YSRxRAAX,10000,1/31/2022,0064v00001tk2knAAA,12/1/2021,0054v00000E5wVTAAZ,Milling & Drilling,Closed Lost,HVS 3
0014v00002dMmmyAAC,12000,2/28/2022,0064v00001tlQ0oAAE,2/2/2022,0054v00000E6aXFAAZ,Jigs & Fixtures,Closed Lost,HVS 3
0016g00000CWw0KAAT,37000,6/23/2022,0064v00001tlQ9lAAE,2/2/2022,0056g00000511ReAAI,Robot Range Extender,Closed Lost,HVS 1
0014v00002YQutOAAT,6000,2/23/2022,0064v00001tjhS4AAI,11/15/2021,0054v00000E6aXjAAJ,Dispensing,Closed Lost,HVS 4
0014v00002KFmhDAAT,100000,12/31/2021,0064v00001tji64AAA,11/15/2021,0054v00000E6aXUAAZ,Conveyors,Closed Lost,HVS 3
0016g00000CWvjjAAD,2555.7,1/20/2022,0064v00001tkVpUAAU,12/23/2021,0054v00000EEeOqAAL,Robot Pedestals & Bases,Closed Won,HVS 2
0014v00002TiYpaAAF,75000,1/31/2022,0064v00001sMasvAAC,9/20/2021,0054v00000EIPPIAA5,Cartesian Palletizer,Closed Lost,HVS 2
0014v00002dQ2eiAAC,2000,7/29/2022,0064v00001tm7iKAAQ,2/28/2022,0054v00000EdgdOAAR,Support Structure,Prospect,EMEA 1
0014v00002dMNpBAAW,80000,2/28/2022,0064v00001tlLVhAAM,1/31/2022,0054v00000EeqrNAAR,Custom Machines,Closed Lost,EMEA 2
0016g00000BVwKTAA1,5545.11,1/19/2022,0064v00001tl4wRAAQ,1/19/2022,0054v00000Edh3HAAR,Workstations,Closed Won,HVS 1
0014v00002KDXyUAAX,300,6/30/2022,0064v00001tlTYJAA2,2/4/2022,0054v00000Edh3RAAR,Parts,Project Quoted,HVS 5
0016g00000BVyHJAA1,3100.07,3/21/2022,0064v00001tmJEnAAM,3/7/2022,0056g0000049sqhAAA,Workstations,Closed Won,Strategic Sales
0014v00002WH4zmAAD,112.65,10/25/2021,0064v00001tjF15AAE,10/25/2021,0054v00000EEeO8AAL,Other Equipment - Other,Closed Won,HVS 4
0016g00000CWvpLAAT,3489.68,1/14/2022,0064v00001tjFmhAAE,10/25/2021,0054v00000E6aXUAAZ,Industrial Carts,Closed Won,HVS 3
0014v00002dM4OuAAK,2568.97,2/25/2022,0064v00001tlIpWAAU,1/28/2022,0054v00000E5wUpAAJ,Safety Enclosures,Closed Won,HVS 1
0014v00002eWHEAAA4,50000,6/30/2022,0064v00001tmKegAAE,3/8/2022,0054v00000E5wVdAAJ,Custom Machines,Closed Lost,HVS 3
0014v00002YSIOwAAP,2000,3/24/2022,0064v00001tjzneAAA,11/30/2021,0054v00000Edh2nAAB,Robotic Tending Cells,Closed Lost,EMEA 1
0014v00002Qlyc1AAB,38750.78,12/30/2022,0064v00001sMKjiAAG,9/7/2021,0054v00000E76uVAAR,Inspection & Testing - Part Inspection,Project Quoted,HVS 4
0016g00000ZpsqpAAB,113.34,10/13/2021,0064v00001sMSgzAAG,9/13/2021,0054v00000E76uGAAR,Shelves & Racks,Closed Won,HVS 2
0016g00000CWvIQAA1,98.29,11/15/2021,0064v00001tjh89AAA,11/15/2021,0056g0000050oslAAA,Other Equipment - Other,Closed Won,HVS 1
0014v00002NfiRpAAJ,1500,10/4/2021,0064v00001s8TOXAA2,8/2/2021,0054v00000EIPPhAAP,Safety Enclosures,Closed Lost,HVS 2
0014v00002SVnheAAD,2000,3/31/2022,0064v00001sME31AAG,9/1/2021,0054v00000E76uGAAR,Custom Machines,Closed Lost,HVS 2
0014v00002ThxuoAAB,100000,9/28/2021,0064v00001sMTwHAAW,9/14/2021,0054v00000EIPG1AAP,Cobot Palletizer,Closed Lost,HVS 3
0016g00000CWvHzAAL,2114.98,1/12/2022,0064v00001tkuWyAAI,1/12/2022,0056g0000049sqfAAA,Robot Pedestals & Bases,Closed Won,HVS 3
0014v00002Qo7nkAAB,3221.77,2/17/2022,0064v00001tlBBRAA2,1/24/2022,0054v00000E76uBAAR,Workstations,Closed Won,HVS 4
0016g00000ZqA7nAAF,10162.14,4/28/2022,0064v00001tlD3kAAE,1/25/2022,0056g0000049sqgAAA,Robot Pedestals & Bases,Closed Won,Strategic Sales
0016g00000CWvNqAAL,50000,9/21/2021,0064v00001sMMp6AAG,9/8/2021,0054v00000E6aXjAAJ,Other Equipment - Other,Closed Lost,HVS 4
0016g00000BVweKAAT,471.7,9/14/2021,0064v00001sMTstAAG,9/14/2021,0054v00000E76u6AAB,Workstations,Closed Won,HVS 2
0014v00002O5EJVAA3,10979.49,11/17/2021,0064v00001sME6ZAAW,9/1/2021,0054v00000E6aXjAAJ,Workstations,Closed Won,HVS 4
0014v00002bLpLCAA0,4000,4/15/2022,0064v00001tl8GiAAI,1/21/2022,0054v00000Ee0JdAAJ,Workstations,Closed Lost,HVS 2
0014v00002M9ixbAAB,20000,8/31/2022,0064v00001tlDKvAAM,1/25/2022,0054v00000EIPPhAAP,Robot Pedestals & Bases,Project Discovery,HVS 2
0016g00000CYw5SAAT,1380.89,3/28/2022,0064v00001tlGZiAAM,1/27/2022,0056g00000572OUAAY,Shelves & Racks,Closed Won,HVS 1
0014v00002Qnf9dAAB,500,9/30/2021,0064v00001s8PKfAAM,7/29/2021,0054v00000E76uVAAR,Other Equipment - Other,Closed Lost,HVS 4
0016g00000CYv92AAD,137.06,1/4/2022,0064v00001tkfMlAAI,1/4/2022,0054v00000E5wUpAAJ,Safety Enclosures,Closed Won,HVS 1
0014v00002Tj0qdAAB,34307.7,2/25/2022,0064v00001tidDdAAI,9/24/2021,0056g0000049sqgAAA,Conveyors,Closed Won,Strategic Sales
0016g00000CYwZ3AAL,157.3,10/18/2021,0064v00001tj6AxAAI,10/18/2021,0054v00000EIPPhAAP,Other Equipment - Other,Closed Won,HVS 2
0014v00002TjnmsAAB,1000,4/21/2022,0064v00001tjFBZAA2,10/25/2021,0054v00000EIPPhAAP,AGV Top Modules,Closed Lost,HVS 2
0014v00002JaI0KAAV,549.47,8/26/2021,0064v00001sM6goAAC,8/26/2021,0054v00000EIPG1AAP,Safety Enclosures,Closed Won,HVS 3
0016g00000CWuzoAAD,53000,7/15/2022,0064v00001tjj6xAAA,11/16/2021,0056g0000049sqgAAA,Robot Pedestals & Bases,Prospect,Strategic Sales
0014v00002M9ptFAAR,2500,3/16/2022,0064v00001tjjRRAAY,11/16/2021,0054v00000E76u6AAB,Workstations,Closed Lost,HVS 2
0014v00002M9ptFAAR,50000,3/24/2022,0064v00001tjjRqAAI,11/16/2021,0054v00000E76u6AAB,Robotics - Pick & Place,Closed Lost,HVS 2
0016g00000BVxoQAAT,648.16,10/21/2021,0064v00001tjAixAAE,10/21/2021,0056g0000050oslAAA,Other Equipment - Other,Closed Won,HVS 1
0014v00002SWRyyAAH,10858.19,11/5/2021,0064v00001titlPAAQ,10/7/2021,0056g0000049sqgAAA,Industrial Carts,Closed Won,Strategic Sales
0014v00002dNXQjAAO,195.21,3/3/2022,0064v00001tmEKTAA2,3/3/2022,0054v00000EeKcGAAV,Parts,Closed Won,HVS 3
0014v00002WFX65AAH,987,12/21/2021,0064v00001tjOcAAAU,11/1/2021,0054v00000Edh2nAAB,Shelves & Racks,Closed Won,EMEA 1
0016g00000BVxY8AAL,40.93,8/30/2021,0064v00001sMBIjAAO,8/30/2021,0056g0000049sqfAAA,Other Equipment - Other,Closed Won,HVS 3
0014v00002YTkNfAAL,100000,9/30/2022,0064v00001tkJxSAAU,12/14/2021,0054v00000EEeP5AAL,Cobot Palletizer,Project Discovery,HVS 1
0014v00002dMZg6AAG,3040.18,3/10/2022,0064v00001tlNILAA2,2/1/2022,0054v00000EeqrNAAR,Robot Pedestals & Bases,Closed Won,EMEA 2
0014v00002dMbJLAA0,16232.6,3/16/2022,0064v00001tlNvmAAE,2/1/2022,0054v00000E76uGAAR,Support Structure,Closed Won,HVS 2
0016g00000CYvARAA1,2887.57,4/27/2022,0064v00001tmMp1AAE,3/9/2022,0054v00000Edh3HAAR,Support Structure,Closed Won,HVS 1
0014v00002WGw4QAAT,8232.16,3/18/2022,0064v00001tmMrWAAU,3/9/2022,0054v00000EEeO8AAL,End-of-Arm Tooling,Closed Won,HVS 4
0014v00002YSITiAAP,50000,7/14/2022,0064v00001tjzt3AAA,11/30/2021,0054v00000Edh2nAAB,Robotics - Pick & Place,Closed Lost,EMEA 1
0014v00002YRgQ8AAL,50000,7/29/2022,0064v00001tk4OaAAI,12/2/2021,0054v00000Edh3HAAR,Custom Machines,Design Review,HVS 1
0014v00002ThvYcAAJ,90000,10/28/2021,0064v00001sMV37AAG,9/15/2021,0056g000003LOiqAAG,Cartesian Palletizer,Closed Lost,EMEA 1
0016g00000JMLV3AAP,8058.8,10/6/2021,0064v00001tip4jAAA,10/4/2021,0056g0000056q5dAAA,Safety Enclosures,Closed Won,Strategic Sales
0014v00002TjzwNAAR,100,12/31/2021,0064v00001tipVfAAI,10/4/2021,0054v00000E5wVEAAZ,Robotic Tending Cells,Closed Lost,HVS 3
0016g00000CWvjEAAT,1000,3/28/2022,0064v00001tkBp8AAE,12/8/2021,0054v00000Ee0JOAAZ,Inspection & Testing - Part Inspection,Closed Lost,HVS 4
0014v00002YRSoLAAX,21998.54,1/19/2022,0064v00001tkCdNAAU,12/8/2021,0054v00000E6aXjAAJ,Robot Pedestals & Bases,Closed Won,HVS 4
0014v00002O6MQsAAN,2614.07,10/12/2021,0064v00001tin3rAAA,10/1/2021,0056g00000511ReAAI,Workstations,Closed Won,HVS 1
0016g00000pAR8pAAG,1682.21,12/15/2021,0064v00001tjkutAAA,11/17/2021,0056g0000049sqhAAA,Shelves & Racks,Closed Won,Strategic Sales
0016g00000CWuzzAAD,4000,3/31/2022,0064v00001tkouVAAQ,1/10/2022,0054v00000E6aXUAAZ,Safety Enclosures,Closed Lost,HVS 3
0014v00002dMw74AAC,1500,7/19/2022,0064v00001tlRsrAAE,2/3/2022,0056g0000049sqkAAA,AGV Top Modules,Project Quoted,Strategic Sales
0014v00002dMxq1AAC,500,3/31/2022,0064v00001tlSRDAA2,2/3/2022,0054v00000E6aXjAAJ,Safety Enclosures,Closed Lost,HVS 4
0014v00002KDsbNAAT,350.72,8/30/2021,0064v00001sMBRqAAO,8/30/2021,0056g0000049sqhAAA,Other Equipment - Other,Closed Won,Strategic Sales
0014v00002NibyWAAR,21410.1,10/31/2021,0064v00001tirEpAAI,10/5/2021,0054v00000E5wVTAAZ,Robotics - Gantry Robots,Closed Lost,HVS 3
0014v00002WFSo7AAH,68775,4/27/2022,0064v00001tjyJ1AAI,11/29/2021,0054v00000Edh3RAAR,Custom Machines,Closed Won,HVS 5
0016g00000CWv5QAAT,360.06,11/30/2021,0064v00001tjyloAAA,11/29/2021,0054v00000E5wVEAAZ,Workstations,Closed Won,HVS 3
0014v00002WIro7AAD,100000,5/31/2022,0064v00001tjR2tAAE,11/2/2021,0054v00000E6aXUAAZ,Cobot Palletizer,Closed Lost,HVS 3
0014v00002O3nUlAAJ,100000,6/17/2022,0064v00001tkgDfAAI,1/5/2022,0056g0000049sqhAAA,Robotics - Pick & Place,Closed Lost,Strategic Sales
0014v00002WHaQmAAL,15741.64,4/8/2022,0064v00001tjEoVAAU,10/25/2021,0056g0000049sqgAAA,Robotic Tending Cells,Closed Lost,Strategic Sales
0016g00000CWvSWAA1,122.75,12/29/2021,0064v00001tka1nAAA,12/29/2021,0054v00000EEeP5AAL,Workstations,Closed Won,HVS 1
0014v00002dMncQAAS,50000,3/31/2022,0064v00001tlQDEAA2,2/2/2022,0054v00000Ee0JdAAJ,Robotic Tending Cells,Closed Lost,HVS 2
0014v00002SUF8IAAX,22364.26,8/26/2022,0064v00001tlQFjAAM,2/2/2022,0056g0000049sqgAAA,Robot Range Extender,Project Quoted,Strategic Sales
0016g00000CWw0uAAD,163.02,8/2/2021,0064v00001s8StpAAE,8/2/2021,0056g0000049sqkAAA,Other Equipment - Other,Closed Won,Strategic Sales
0016g00000BVxuGAAT,,9/30/2021,0064v00001s8V6DAAU,8/3/2021,0054v00000E6Ga9AAF,,Prospect,Shark Tank
0014v00002NiUR9AAN,101,8/31/2021,0064v00001s6sfiAAA,6/1/2021,0054v00000EEeOqAAL,Shelves & Racks,Closed Lost,HVS 2
0016g00000BVxnRAAT,68.19,6/1/2021,0064v00001s6saJAAQ,6/1/2021,0056g0000049sqgAAA,Other Equipment - Other,Closed Won,Strategic Sales
0016g00000CWvQ9AAL,224.42,7/30/2021,0064v00001s8RkGAAU,7/31/2021,0056g00000511ReAAI,Other Equipment - Other,Closed Won,HVS 1
0016g00000CWuprAAD,100,1/6/2022,0064v00001tkZQrAAM,12/29/2021,0054v00000Edh2nAAB,Workstations,Closed Won,EMEA 1
0014v00002O6grwAAB,14105.15,7/22/2022,0064v00001s8TRWAA2,8/2/2021,0056g0000049sqkAAA,Robot Range Extender,Design Review,Strategic Sales
0014v00002NiSGCAA3,1000,11/24/2021,0064v00001s6s3jAAA,6/1/2021,0054v00000EIPPhAAP,Workstations,Closed Lost,HVS 2
0014v00002Qo2FRAAZ,250000,3/10/2022,0064v00001s8VrYAAU,8/3/2021,0054v00000EIPPhAAP,Industrial Robot Palletizer,Closed Lost,HVS 2
0016g00000CWv6UAAT,6367.39,4/15/2022,0064v00001tkb3XAAQ,12/30/2021,0056g0000049sqgAAA,Jigs & Fixtures,Closed Lost,Strategic Sales
0014v00002KGEx6AAH,130,8/3/2021,0064v00001s8WjoAAE,8/4/2021,0054v00000EIPPIAA5,Other Equipment - Other,Closed Won,HVS 2
0014v00002NiSucAAF,1000,7/30/2021,0064v00001s6sJ8AAI,6/1/2021,0054v00000E5wVTAAZ,Workstations,Closed Lost,HVS 3
0014v00002O3nylAAB,21940.67,6/30/2021,0064v00001s7Wx6AAE,6/28/2021,0054v00000EEeO8AAL,Industrial Carts,Closed Won,HVS 4
0016g00000JMLPxAAP,2064.19,6/29/2021,0064v00001s7Z6MAAU,6/29/2021,0054v00000E5wUzAAJ,Other Equipment - Other,Closed Won,HVS 2
0014v00002QoSSDAA3,3000,10/22/2021,0064v00001s8XYhAAM,8/4/2021,0056g0000049sqkAAA,Robot Pedestals & Bases,Closed Lost,Strategic Sales
0014v00002O6grwAAB,20000,8/31/2021,0064v00001s7XFKAA2,6/28/2021,0056g0000049sqkAAA,Robot Range Extender,Closed Lost,Strategic Sales
0016g00000BUyOUAA1,18553.46,8/17/2021,0064v00001s8Z3dAAE,8/5/2021,0056g0000049sqfAAA,Robot Pedestals & Bases,Closed Won,HVS 3
0014v00002NiUAIAA3,0,9/30/2021,0064v00001s6saEAAQ,6/1/2021,0054v00000EIPPIAA5,Cartesian Palletizer,Closed Lost,HVS 2
0014v00002NiUy8AAF,80000,7/30/2021,0064v00001s6stVAAQ,6/1/2021,0056g0000056q5dAAA,Cobot Palletizer,Closed Lost,Strategic Sales
0014v00002O6MQsAAN,30000,4/19/2022,0064v00001s7UNPAA2,6/25/2021,0056g00000511ReAAI,Robot Pedestals & Bases,Closed Lost,HVS 1
0014v00002O6gkqAAB,697.01,6/29/2021,0064v00001s7YXVAA2,6/29/2021,0054v00000E6aXUAAZ,Other Equipment - Other,Closed Won,HVS 3
0014v00002Qo9VQAAZ,980,3/10/2022,0064v00001s8VSEAA2,8/3/2021,0056g00000511ReAAI,Jigs & Fixtures,Closed Lost,HVS 1
0014v00002QoC0wAAF,5000,8/31/2021,0064v00001s8VzhAAE,8/3/2021,0054v00000EIPG1AAP,Workstations,Closed Lost,HVS 3
0014v00002QoWXwAAN,100000,2/17/2022,0064v00001s8WuwAAE,8/4/2021,0056g0000049sqhAAA,Robotic Tending Cells,Closed Lost,Strategic Sales
0014v00002O6LITAA3,7787.34,9/14/2021,0064v00001s7TsWAAU,6/25/2021,0054v00000EIPG1AAP,Robot Range Extender,Closed Won,HVS 3
0014v00002NgzcCAAR,16295.09,7/23/2021,0064v00001s7bRwAAI,6/30/2021,0056g0000056q5dAAA,Safety Enclosures,Closed Won,Strategic Sales
0016g00000CYvlAAAT,50000,5/31/2022,0064v00001tlLwiAAE,1/31/2022,0054v00000E5wVTAAZ,Milling & Drilling,Closed Lost,HVS 3
0014v00002bLwWqAAK,614.11,3/2/2022,0064v00001tmBfGAAU,3/2/2022,0056g00000572OUAAY,Shelves & Racks,Closed Won,HVS 1
0014v00002dMv5WAAS,3980.25,3/22/2022,0064v00001tlRO3AAM,2/3/2022,0054v00000Ee1TPAAZ,Workstations,Closed Won,EMEA 1
0016g00000CWvAGAA1,3103.41,6/24/2021,0064v00001s7WKnAAM,6/28/2021,0056g0000049sqkAAA,Robot Pedestals & Bases,Closed Won,Strategic Sales
0016g00000BVwmYAAT,3877.85,11/10/2021,0064v00001tjIUOAA2,10/27/2021,0056g0000050osWAAQ,Jigs & Fixtures,Closed Won,HVS 3
0014v00002O4IK7AAN,0,9/30/2021,0064v00001s71u6AAA,6/7/2021,0054v00000E6oPZAAZ,Workstations,Closed Lost,EMEA 1
0016g00000CWvAGAA1,3053,8/4/2021,0064v00001s8V7BAAU,8/3/2021,0054v00000E7EDFAA3,Workstations,Closed Won,Strategic Sales
0016g00000CWvqoAAD,858.06,1/4/2022,0064v00001tkfP1AAI,1/4/2022,0054v00000E76uLAAR,Custom Machines,Closed Won,HVS 5
0014v00002YRg1cAAD,2000,4/30/2022,0064v00001tjrE6AAI,11/22/2021,0054v00000Edh3HAAR,Jigs & Fixtures,Closed Lost,HVS 1
0014v00002O5KHVAA3,46.01,7/6/2021,0064v00001s7nekAAA,7/6/2021,0054v00000E6aXUAAZ,Other Equipment - Other,Closed Won,HVS 3
0014v00002bMqtrAAC,4832.56,2/14/2022,0064v00001tlF0xAAE,1/26/2022,0054v00000EeKcGAAV,Shelves & Racks,Closed Won,HVS 3
0016g00000CWvWCAA1,100000,9/30/2022,0064v00001tkqAZAAY,1/10/2022,0054v00000E5wVTAAZ,Conveyors,Project Quoted,HVS 3
0014v00002YR2QEAA1,1000,12/17/2021,0064v00001tjj5uAAA,11/16/2021,0054v00000E5wVdAAJ,Robot Range Extender,Closed Lost,HVS 3
0014v00002JiwYvAAJ,4036.83,1/26/2022,0064v00001tl2YsAAI,1/18/2022,0056g0000049sqhAAA,Shelves & Racks,Closed Won,Strategic Sales
0016g00000BVy7fAAD,3651.25,10/29/2021,0064v00001tjGcMAAU,10/26/2021,0054v00000EIPPhAAP,Conveyors,Closed Won,HVS 2
0014v00002KEnYIAA1,557.62,1/10/2022,0064v00001tkot3AAA,1/10/2022,0056g00000572OUAAY,Jigs & Fixtures,Closed Won,HVS 1
0016g00000Fbbw9AAB,5000,3/7/2022,0064v00001tlqmOAAQ,2/15/2022,0054v00000EeKcGAAV,Support Structure,Closed Lost,HVS 3
0016g00000CWw8bAAD,3350.16,2/15/2022,0064v00001tlrA6AAI,2/15/2022,0056g0000049sqgAAA,Robot Pedestals & Bases,Closed Won,Strategic Sales
0014v00002YQsprAAD,40000,9/22/2022,0064v00001tkvh2AAA,1/13/2022,0054v00000Edh2nAAB,Custom Machines,Project Discovery,EMEA 1
0014v00002M975PAAR,63.2,11/6/2021,0064v00001tjUmpAAE,11/4/2021,0054v00000EIPPhAAP,Other Equipment - Other,Closed Won,HVS 2
0014v00002YQT0hAAH,150000,5/20/2022,0064v00001tlw4jAAA,2/18/2022,0056g0000049sqhAAA,Case Packing,Closed Lost,Strategic Sales
0016g00000CWvSCAA1,1296.52,3/24/2022,0064v00001tlw8bAAA,2/18/2022,0056g00000511ReAAI,Industrial Carts,Closed Won,HVS 1
0014v00002eXJO2AAO,136.94,3/10/2022,0064v00001tmTzaAAE,3/14/2022,0054v00000EeKcBAAV,Parts,Closed Won,HVS 1
0016g00000CWvlDAAT,876.22,2/14/2022,0064v00001tlojtAAA,2/14/2022,0056g0000049sqgAAA,Robot Pedestals & Bases,Closed Won,Strategic Sales
0016g000009MVozAAG,4000,12/31/2021,0064v00001tkApDAAU,12/7/2021,0056g0000049sqkAAA,Robot Pedestals & Bases,Closed Lost,Strategic Sales
